city,state,zip,county,population,slug,combined_rate,combined_rate_pct,taxable,jurisdiction_levels,needs_review,address_valid,seo_title,meta_description,intro_text
Memphis,TN,38112,Shelby,653450,memphis-tn,0.09750,9.75%,true,STATE|COUNTY|CITY,false,skipped,"Memphis, TN Sales Tax Calculator","The combined sales tax rate in Memphis, TN is 9.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Memphis, TN is 9.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Seattle,WA,98164,King,652405,seattle-wa,0.10550,10.55%,true,STATE|COUNTY|CITY|DISTRICT,false,skipped,"Seattle, WA Sales Tax Calculator","The combined sales tax rate in Seattle, WA is 10.55%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Seattle, WA is 10.55%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Denver,CO,80208,Denver,649495,denver-co,0.07750,7.75%,true,STATE|COUNTY|CITY|DISTRICT,false,skipped,"Denver, CO Sales Tax Calculator","The combined sales tax rate in Denver, CO is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Denver, CO is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Washington,DC,20436,District of Columbia,646449,washington-dc,0.06000,6%,true,STATE,false,skipped,"Washington, DC Sales Tax Calculator","The combined sales tax rate in Washington, DC is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Washington, DC is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Boston,MA,02210,Suffolk,645966,boston-ma,0.06250,6.25%,true,STATE,false,skipped,"Boston, MA Sales Tax Calculator","The combined sales tax rate in Boston, MA is 6.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Boston, MA is 6.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Nashville,TN,37222,Davidson,634464,nashville-tn,0.09750,9.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Nashville, TN Sales Tax Calculator","The combined sales tax rate in Nashville, TN is 9.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Nashville, TN is 9.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Baltimore,MD,21201,Baltimore (city),622104,baltimore-md,0.06000,6%,true,STATE,false,skipped,"Baltimore, MD Sales Tax Calculator","The combined sales tax rate in Baltimore, MD is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Baltimore, MD is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Oklahoma City,OK,73111,Oklahoma,610613,oklahoma-city-ok,0.08625,8.625%,true,STATE|CITY,false,skipped,"Oklahoma City, OK Sales Tax Calculator","The combined sales tax rate in Oklahoma City, OK is 8.625%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Oklahoma City, OK is 8.625%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Louisville,KY,40205,Jefferson,609893,louisville-ky,0.06000,6%,true,STATE,false,skipped,"Louisville, KY Sales Tax Calculator","The combined sales tax rate in Louisville, KY is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Louisville, KY is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Portland,OR,97204,Multnomah,609456,portland-or,0.00000,0%,false,,false,skipped,"Portland, OR Sales Tax Calculator","Portland, OR has no general sales tax. Use the calculator to check tax by product category and see your total.","Portland, OR doesn't charge a general sales tax. Use the calculator below to confirm how specific product categories are treated."
Las Vegas,NV,89102,Clark,603488,las-vegas-nv,0.08375,8.375%,true,STATE|COUNTY,false,skipped,"Las Vegas, NV Sales Tax Calculator","The combined sales tax rate in Las Vegas, NV is 8.375%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Las Vegas, NV is 8.375%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Milwaukee,WI,53208,Milwaukee,599164,milwaukee-wi,0.07900,7.9%,true,STATE|COUNTY|CITY,false,skipped,"Milwaukee, WI Sales Tax Calculator","The combined sales tax rate in Milwaukee, WI is 7.9%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Milwaukee, WI is 7.9%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Albuquerque,NM,87102,Bernalillo,556495,albuquerque-nm,0.07625,7.625%,true,STATE|COUNTY|CITY,false,skipped,"Albuquerque, NM Sales Tax Calculator","The combined sales tax rate in Albuquerque, NM is 7.625%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Albuquerque, NM is 7.625%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Tucson,AZ,85721,Pima,526116,tucson-az,0.08700,8.7%,true,STATE|COUNTY|CITY,false,skipped,"Tucson, AZ Sales Tax Calculator","The combined sales tax rate in Tucson, AZ is 8.7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Tucson, AZ is 8.7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Fresno,CA,93727,Fresno,509924,fresno-ca,0.08350,8.35%,true,STATE|COUNTY|DISTRICT,false,skipped,"Fresno, CA Sales Tax Calculator","The combined sales tax rate in Fresno, CA is 8.35%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Fresno, CA is 8.35%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Sacramento,CA,95816,Sacramento,479686,sacramento-ca,0.08750,8.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Sacramento, CA Sales Tax Calculator","The combined sales tax rate in Sacramento, CA is 8.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Sacramento, CA is 8.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Long Beach,CA,90813,Los Angeles,469428,long-beach-ca,0.10500,10.5%,true,STATE|COUNTY|DISTRICT,false,skipped,"Long Beach, CA Sales Tax Calculator","The combined sales tax rate in Long Beach, CA is 10.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Long Beach, CA is 10.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Kansas City,MO,64106,Jackson,467007,kansas-city-mo,0.08475,8.475%,true,STATE|CITY|DISTRICT,false,skipped,"Kansas City, MO Sales Tax Calculator","The combined sales tax rate in Kansas City, MO is 8.475%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Kansas City, MO is 8.475%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Mesa,AZ,85213,Maricopa,457587,mesa-az,0.08300,8.3%,true,STATE|COUNTY|CITY,false,skipped,"Mesa, AZ Sales Tax Calculator","The combined sales tax rate in Mesa, AZ is 8.3%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Mesa, AZ is 8.3%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Virginia Beach,VA,23460,Virginia Beach (city),448479,virginia-beach-va,0.06000,6%,true,STATE|COUNTY|DISTRICT,false,skipped,"Virginia Beach, VA Sales Tax Calculator","The combined sales tax rate in Virginia Beach, VA is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Virginia Beach, VA is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Atlanta,GA,30305,Fulton,447841,atlanta-ga,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Atlanta, GA Sales Tax Calculator","The combined sales tax rate in Atlanta, GA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Atlanta, GA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Colorado Springs,CO,80909,El Paso,439886,colorado-springs-co,0.05130,5.13%,true,STATE|COUNTY|DISTRICT,false,skipped,"Colorado Springs, CO Sales Tax Calculator","The combined sales tax rate in Colorado Springs, CO is 5.13%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Colorado Springs, CO is 5.13%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Omaha,NE,68132,Douglas,434353,omaha-ne,0.07000,7%,true,STATE|CITY,false,skipped,"Omaha, NE Sales Tax Calculator","The combined sales tax rate in Omaha, NE is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Omaha, NE is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Raleigh,NC,27608,Wake,431746,raleigh-nc,0.07250,7.25%,true,STATE|COUNTY,false,skipped,"Raleigh, NC Sales Tax Calculator","The combined sales tax rate in Raleigh, NC is 7.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Raleigh, NC is 7.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Miami,FL,33134,Miami-Dade,417650,miami-fl,0.07000,7%,true,STATE|COUNTY,false,skipped,"Miami, FL Sales Tax Calculator","The combined sales tax rate in Miami, FL is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Miami, FL is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Oakland,CA,94606,Alameda,406253,oakland-ca,0.10750,10.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Oakland, CA Sales Tax Calculator","The combined sales tax rate in Oakland, CA is 10.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Oakland, CA is 10.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Minneapolis,MN,55405,Hennepin,400070,minneapolis-mn,0.09025,9.025%,true,STATE|COUNTY|CITY|DISTRICT,false,skipped,"Minneapolis, MN Sales Tax Calculator","The combined sales tax rate in Minneapolis, MN is 9.025%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Minneapolis, MN is 9.025%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Tulsa,OK,74120,Tulsa,398121,tulsa-ok,0.08517,8.517%,true,STATE|COUNTY|CITY,false,skipped,"Tulsa, OK Sales Tax Calculator","The combined sales tax rate in Tulsa, OK is 8.517%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Tulsa, OK is 8.517%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Cleveland,OH,44103,Cuyahoga,390113,cleveland-oh,0.08000,8%,true,STATE|COUNTY|DISTRICT,false,skipped,"Cleveland, OH Sales Tax Calculator","The combined sales tax rate in Cleveland, OH is 8%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Cleveland, OH is 8%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Wichita,KS,67201,Sedgwick,386552,wichita-ks,0.07500,7.5%,true,STATE|COUNTY,false,skipped,"Wichita, KS Sales Tax Calculator","The combined sales tax rate in Wichita, KS is 7.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Wichita, KS is 7.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Arlington,TX,76013,Tarrant,379577,arlington-tx,0.08250,8.25%,true,STATE|CITY,false,skipped,"Arlington, TX Sales Tax Calculator","The combined sales tax rate in Arlington, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Arlington, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
New Orleans,LA,70141,Jefferson Parish,378715,new-orleans-la,0.10000,10%,true,STATE|LOCAL,false,skipped,"New Orleans, LA Sales Tax Calculator","The combined sales tax rate in New Orleans, LA is 10%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in New Orleans, LA is 10%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Bakersfield,CA,93307,Kern,363630,bakersfield-ca,0.08250,8.25%,true,STATE|COUNTY|DISTRICT,false,skipped,"Bakersfield, CA Sales Tax Calculator","The combined sales tax rate in Bakersfield, CA is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Bakersfield, CA is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Tampa,FL,33606,Hillsborough,352957,tampa-fl,0.07500,7.5%,true,STATE|COUNTY,false,skipped,"Tampa, FL Sales Tax Calculator","The combined sales tax rate in Tampa, FL is 7.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Tampa, FL is 7.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Honolulu,HI,96823,Honolulu,347884,honolulu-hi,0.04712,4.712%,true,STATE|COUNTY,false,skipped,"Honolulu, HI Sales Tax Calculator","The combined sales tax rate in Honolulu, HI is 4.712%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Honolulu, HI is 4.712%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Aurora,CO,80018,Arapahoe,345803,aurora-co,0.08000,8%,true,STATE|COUNTY|CITY|DISTRICT,false,skipped,"Aurora, CO Sales Tax Calculator","The combined sales tax rate in Aurora, CO is 8%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Aurora, CO is 8%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Anaheim,CA,92805,Orange,345012,anaheim-ca,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Anaheim, CA Sales Tax Calculator","The combined sales tax rate in Anaheim, CA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Anaheim, CA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Santa Ana,CA,92702,Orange,334227,santa-ana-ca,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Santa Ana, CA Sales Tax Calculator","The combined sales tax rate in Santa Ana, CA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Santa Ana, CA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
St. Louis,MO,63112,St. Louis (city),318416,st-louis-mo,0.04225,4.225%,true,STATE,true,skipped,"St. Louis, MO Sales Tax Calculator","The combined sales tax rate in St. Louis, MO is 4.225%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in St. Louis, MO is 4.225%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Riverside,CA,92502,Riverside,316619,riverside-ca,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Riverside, CA Sales Tax Calculator","The combined sales tax rate in Riverside, CA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Riverside, CA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Corpus Christi,TX,78416,Nueces,316381,corpus-christi-tx,0.08250,8.25%,true,STATE|CITY|DISTRICT,false,skipped,"Corpus Christi, TX Sales Tax Calculator","The combined sales tax rate in Corpus Christi, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Corpus Christi, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Pittsburgh,PA,15212,Allegheny,305841,pittsburgh-pa,0.07000,7%,true,STATE|COUNTY,false,skipped,"Pittsburgh, PA Sales Tax Calculator","The combined sales tax rate in Pittsburgh, PA is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Pittsburgh, PA is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Anchorage,AK,99507,Anchorage Municipality,300950,anchorage-ak,0.00000,0%,false,,false,skipped,"Anchorage, AK Sales Tax Calculator","Anchorage, AK has no general sales tax. Use the calculator to check tax by product category and see your total.","Anchorage, AK doesn't charge a general sales tax. Use the calculator below to confirm how specific product categories are treated."
Stockton,CA,95211,San Joaquin,298118,stockton-ca,0.09000,9%,true,STATE|COUNTY|DISTRICT,false,skipped,"Stockton, CA Sales Tax Calculator","The combined sales tax rate in Stockton, CA is 9%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Stockton, CA is 9%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Cincinnati,OH,45217,Hamilton,297517,cincinnati-oh,0.07800,7.8%,true,STATE|COUNTY|DISTRICT,false,skipped,"Cincinnati, OH Sales Tax Calculator","The combined sales tax rate in Cincinnati, OH is 7.8%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Cincinnati, OH is 7.8%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
St. Paul,MN,55155,Ramsey,294873,st-paul-mn,0.09875,9.875%,true,STATE|CITY|DISTRICT,false,skipped,"St. Paul, MN Sales Tax Calculator","The combined sales tax rate in St. Paul, MN is 9.875%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in St. Paul, MN is 9.875%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Toledo,OH,43608,Lucas,282313,toledo-oh,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Toledo, OH Sales Tax Calculator","The combined sales tax rate in Toledo, OH is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Toledo, OH is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Greensboro,NC,27412,Guilford,279639,greensboro-nc,0.06750,6.75%,true,STATE|COUNTY,false,skipped,"Greensboro, NC Sales Tax Calculator","The combined sales tax rate in Greensboro, NC is 6.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Greensboro, NC is 6.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Newark,NJ,07103,Essex,278427,newark-nj,0.06625,6.625%,true,STATE,false,skipped,"Newark, NJ Sales Tax Calculator","The combined sales tax rate in Newark, NJ is 6.625%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Newark, NJ is 6.625%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Plano,TX,75023,Collin,274409,plano-tx,0.08250,8.25%,true,STATE|CITY|DISTRICT,false,skipped,"Plano, TX Sales Tax Calculator","The combined sales tax rate in Plano, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Plano, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Henderson,NV,89012,Clark,270811,henderson-nv,0.08375,8.375%,true,STATE|COUNTY,false,skipped,"Henderson, NV Sales Tax Calculator","The combined sales tax rate in Henderson, NV is 8.375%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Henderson, NV is 8.375%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Lincoln,NE,68588,Lancaster,268738,lincoln-ne,0.07250,7.25%,true,STATE|CITY,false,skipped,"Lincoln, NE Sales Tax Calculator","The combined sales tax rate in Lincoln, NE is 7.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Lincoln, NE is 7.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Buffalo,NY,14204,Erie,258959,buffalo-ny,0.08750,8.75%,true,STATE|LOCAL,false,skipped,"Buffalo, NY Sales Tax Calculator","The combined sales tax rate in Buffalo, NY is 8.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Buffalo, NY is 8.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Jersey City,NJ,07306,Hudson,257342,jersey-city-nj,0.06625,6.625%,true,STATE,false,skipped,"Jersey City, NJ Sales Tax Calculator","The combined sales tax rate in Jersey City, NJ is 6.625%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Jersey City, NJ is 6.625%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Chula Vista,CA,91910,San Diego,256780,chula-vista-ca,0.08750,8.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Chula Vista, CA Sales Tax Calculator","The combined sales tax rate in Chula Vista, CA is 8.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Chula Vista, CA is 8.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
