city,state,zip,county,population
Castle,OK,74833,Okfuskee,
Cedar Park,TX,78613,Williamson,
Central City,KY,42330,Muhlenberg,
Centuria,WI,54824,Polk,
Cerritos,CA,90703,Los Angeles,
Challis,ID,83226,Custer,
Chambersburg,PA,17201,Franklin,
Chapel Hill,NC,27515,Orange,
Charlotte,NC,28204,Mecklenburg,
Chatom,AL,36518,Washington,
Chatsworth,GA,30705,Murray,
Chattahoochee,FL,32324,Gadsden,
Cherry Valley,IL,61016,Winnebago,
Chesaning,MI,48616,Saginaw,
Chester,PA,19016,Delaware,
Chesterhill,OH,43728,Morgan,
Chetopa,KS,67336,Labette,
Chickamauga,GA,30707,Walker,
Chino Valley,AZ,86323,Yavapai,
Cicero,IL,60804,Cook,
Clark Fork,ID,83811,Bonner,
Clarkston,GA,30021,DeKalb,
Clayton,CA,94517,Contra Costa,
Clearmont,MO,64431,Nodaway,
Clements,MN,56224,Redwood,
Cleveland,OH,44103,Cuyahoga,
Cleveland,TX,77327,Liberty,
Clinton,IL,61727,De Witt,
Clinton,WI,53525,Rock,
Cloverdale,IN,46120,Putnam,
Clyde,NY,14433,Wayne,
Coats,NC,27521,Harnett,
Cold Spring,NY,10516,Putnam,
Colfax,WA,99111,Whitman,
Collegedale,TN,37315,Hamilton,
Collierville,TN,38017,Shelby,
Columbus,OH,43201,Franklin,
Commerce City,CO,80022,Adams,
Copemish,MI,49625,Manistee,
Corning,CA,96021,Tehama,
Cornwall,PA,17016,Lebanon,
Craig,MO,64437,Holt,
Cresson,TX,76035,Hood,
Crosby,MN,56441,Crow Wing,
Crystal River,FL,34423,Citrus,
Cuba,KS,66940,Republic,
Cudahy,WI,53110,Milwaukee,
Culloden,GA,31016,Monroe,
Cullom,IL,60929,Livingston,
Culpeper,VA,22701,Culpeper,
Culver City,CA,90232,Los Angeles,
Cushing,TX,75760,Nacogdoches,
Danbury,NC,27016,Stokes,
Danville,GA,31017,Twiggs,
Danville,IL,61832,Vermilion,
Darrington,WA,98241,Snohomish,
Davis,CA,95618,Yolo,
Dayton,TX,77535,Liberty,
Demotte,IN,46310,Jasper,
Delaware,OH,43015,Delaware,
Dellroy,OH,44620,Carroll,
Denton,GA,31532,Jeff Davis,
Detroit,TX,75436,Red River,
Devol,OK,73531,Cotton,
Dewey,OK,74029,Washington,
Dieterich,IL,62424,Effingham,
Dilley,TX,78017,Frio,
District Heights,MD,20753,Prince George's,
Doniphan,MO,63935,Ripley,
Douglas,MI,49406,Allegan,
Downs,IL,61736,McLean,
Dublin,OH,43016,Franklin,
Dunkirk,NY,14048,Chautauqua,
Eagle,NE,68347,Cass,
East Lansing,MI,48823,Ingham,
East Rutherford,NJ,07073,Bergen,
Eden,NC,27289,Rockingham,
Electric City,WA,99123,Grant,
Eleva,WI,54738,Trempealeau,
Elgin,TX,78621,Bastrop,
Elizabethtown,KY,42701,Hardin,
Ellensburg,WA,98926,Kittitas,
Embarrass,WI,54933,Waupaca,
Emeryville,CA,94662,Alameda,
Enumclaw,WA,98022,King,
Erie,PA,16503,Erie,
Erwin,NC,28339,Harnett,
Eureka,CA,95501,Humboldt,
Exeter,MO,65647,Barry,
Fair Play,MO,65649,Polk,
Fairfield,TX,75840,Freestone,
Fairplay,CO,80440,Park,
Farmersville,CA,93223,Tulare,
Federal Way,WA,98003,King,
Federalsburg,MD,21632,Caroline,
Fitchburg,MA,01420,Worcester,
Flagstaff,AZ,86002,Coconino,
Flatonia,TX,78941,Fayette,
Florham Park,NJ,07932,Morris,
Fort Jones,CA,96032,Siskiyou,
Fort Lauderdale,FL,33310,Broward,
Fort Worth,TX,76102,Tarrant,
Foster,MO,64745,Bates,
Fowler,CA,93625,Fresno,
Fowler,MI,48835,Clinton,
Foxhome,MN,56543,Wilkin,
Franklin,VA,23851,Franklin (city),
Fredonia,PA,16124,Mercer,
Fredonia,WI,53021,Ozaukee,
Freehold,NJ,07728,Monmouth,
Frost,TX,76641,Navarro,
Fulshear,TX,77441,Fort Bend,
Fulton,TX,78358,Aransas,
Fultonham,OH,43738,Muskingum,
Furman,SC,29921,Hampton,
Gainesville,GA,30501,Hall,
Gainesville,TX,76241,Cooke,
Gainesville,NY,14066,Wyoming,
Galatia,IL,62935,Saline,
Galien,MI,49113,Berrien,
Garfield,GA,30425,Emanuel,
Garfield,WA,99130,Whitman,
Geneva,IN,46740,Adams,
Gibsonville,NC,27249,Guilford,
Glasgow,PA,16644,Cambria,
Glen Echo,MD,20812,Montgomery,
Glen Saint Mary,FL,32040,Baker,
Graceville,FL,32440,Jackson,
Grand Blanc,MI,48439,Genesee,
Grand Haven,MI,49417,Ottawa,
Grand Terrace,CA,92313,San Bernardino,
Grant Park,IL,60940,Kankakee,
Grantsboro,NC,28529,Pamlico,
Grayslake,IL,60030,Lake,
Great Bend,PA,18821,Susquehanna,
Green City,MO,63545,Sullivan,
Greenfield,MO,65661,Dade,
Greenport,NY,11944,Suffolk,
Greensboro,FL,32330,Gadsden,
Grove City,OH,43123,Franklin,
Guilford,MO,64457,Nodaway,
Gustine,TX,76455,Comanche,
Hackensack,NJ,07601,Bergen,
Haddon Heights,NJ,08035,Camden,
Haddonfield,NJ,08033,Camden,
Haledon,NJ,07508,Passaic,
Hamilton,VA,20158,Loudoun,
Hamlet,IN,46532,Starke,
Hampton,NJ,08827,Hunterdon,
Hanna,OK,74845,McIntosh,
Haralson,GA,30229,Coweta,
Harbor Beach,MI,48441,Huron,
Harker Heights,TX,76548,Bell,
Harrogate,TN,37752,Claiborne,
Hartford City,IN,47348,Blackford,
Hartland,WI,53029,Waukesha,
Haskell,TX,79521,Haskell,
Hawley,PA,18428,Wayne,
Hearne,TX,77859,Robertson,
Hebron,MD,21830,Wicomico,
Herington,KS,67449,Dickinson,
Hibbing,MN,55746,St. Louis,
Higbee,MO,65257,Randolph,
Hillsdale,NJ,07642,Bergen,
Hitchcock,TX,77563,Galveston,
Holloway,OH,43985,Belmont,
Holly,CO,81047,Prowers,
Holly,MI,48442,Oakland,
Homerville,GA,31634,Clinch,
Hopkins,MN,55305,Hennepin,
Hornbeak,TN,38232,Obion,
Hume,IL,61932,Edgar,
Huntertown,IN,46748,Allen,
Hyrum,UT,84319,Cache,
Iberia,MO,65486,Miller,
Idaho Falls,ID,83404,Bonneville,
Imperial Beach,CA,91932,San Diego,
Ingalls,IN,46048,Madison,
Iron Gate,VA,24448,Alleghany,
Irving,TX,75039,Dallas,
Island Park,NY,11558,Nassau,
Ithaca,NY,14853,Tompkins,
Jacksonville,GA,31544,Telfair,
Jamestown,CO,80455,Boulder,
Jamestown,TN,38556,Fentress,
Jefferson City,MO,65102,Cole,
Joliet,IL,60433,Will,
Joshua,TX,76058,Johnson,
Kankakee,IL,60901,Kankakee,
Kannapolis,NC,28083,Cabarrus,
Kaufman,TX,75142,Kaufman,
Kennedale,TX,76060,Tarrant,
Kenosha,WI,53141,Kenosha,
Kent,OH,44240,Portage,
Kentland,IN,47951,Newton,
Kenton,OH,43326,Hardin,
Key Colony Beach,FL,33051,Monroe,
Killeen,TX,76541,Bell,
Killen,AL,35645,Lauderdale,
Kings Mountain,NC,28086,Cleveland,
Kingsbury,TX,78638,Guadalupe,
Kingston,WI,53939,Green Lake,
Kirkland,IL,60146,DeKalb,
Kit Carson,CO,80825,Cheyenne,
Kremlin,OK,73753,Garfield,
La Palma,CA,90623,Orange,
La Porte,IN,46352,LaPorte,
La Quinta,CA,92247,Riverside,
La Verne,CA,91750,Los Angeles,
Labelle,FL,33975,Hendry,
Lake Elmo,MN,55042,Washington,
Lake Forest,CA,92630,Orange,
Lakeville,MN,55044,Dakota,
Lakewood,IL,62438,Shelby,
Lakewood,NY,14750,Chautauqua,
Lancaster,WI,53813,Grant,
Latah,WA,99018,Spokane,
Latham,IL,62543,Logan,
Lawndale,CA,90260,Los Angeles,
Leander,TX,78646,Williamson,
Leesburg,VA,20177,Loudoun,
Leland,NC,28451,Brunswick,
Lena,IL,61048,Stephenson,
Lena,WI,54139,Oconto,
Lewiston,ID,83501,Nez Perce,
Lewistown,MO,63452,Lewis,
Lexington,VA,24450,Lexington (city),
Liberty Center,OH,43532,Henry,
Lincoln,AL,35096,Talladega,
Lindale,TX,75771,Smith,
Linesville,PA,16424,Crawford,
Littlestown,PA,17340,Adams,
Liverpool,TX,77577,Brazoria,
Liverpool,NY,13088,Onondaga,
Livingston,TX,77351,Polk,
Locust Grove,GA,30248,Henry,
Locust,NC,28097,Stanly,
Lombard,IL,60148,DuPage,
Lomita,CA,90717,Los Angeles,
Lompoc,CA,93436,Santa Barbara,
Longmont,CO,80502,Boulder,
Los Alamitos,CA,90721,Orange,
Los Altos,CA,94023,Santa Clara,
Los Banos,CA,93635,Merced,
Los Gatos,CA,95030,Santa Clara,
Lovelock,NV,89419,Pershing,
Lowell,MA,01853,Middlesex,
Lowry City,MO,64763,St. Clair,
Lowville,NY,13367,Lewis,
Lubbock,TX,79411,Lubbock,
Lufkin,TX,75915,Angelina,
Lynchburg,OH,45142,Highland,
Lyons,CO,80540,Boulder,
Madison,NJ,07940,Morris,
Madison,IL,62060,Madison,
Magnolia,NJ,08049,Camden,
Manchester,MD,21102,Carroll,
Mankato,KS,66956,Jewell,
Marana,AZ,85653,Pima,
Marathon,FL,33050,Monroe,
Margate City,NJ,08402,Atlantic,
Margate,FL,33093,Broward,
Maribel,WI,54227,Manitowoc,
Maricopa,AZ,85138,Pinal,
Markham,IL,60428,Will,
Markle,IN,46770,Huntington,
Markleville,IN,46056,Madison,
Markleysburg,PA,15459,Fayette,
Marlborough,MA,01752,Middlesex,
Mascoutah,IL,62258,St. Clair,
Mason,MI,48854,Ingham,
Mason,WI,54856,Bayfield,
Maunie,IL,62861,White,
Mayo,FL,32066,Lafayette,
Mayville,NY,14757,Chautauqua,
Meadville,MO,64659,Linn,
Media,PA,19063,Delaware,
Medicine Park,OK,73557,Comanche,
Melbourne,FL,32901,Brevard,
Mendon,OH,45862,Mercer,
Mendota,IL,61342,LaSalle,
Mercedes,TX,78570,Hidalgo,
Meridian,ID,83642,Ada,
Merrillville,IN,46411,Lake,
Metaline,WA,99152,Pend Oreille,
Miami,AZ,85539,Gila,
Middle Point,OH,45863,Van Wert,
Middlebury,IN,46540,Elkhart,
Middlefield,OH,44062,Geauga,
Middletown,NY,10940,Orange,
Milaca,MN,56353,Mille Lacs,
Milan,OH,44846,Erie,
Mill Creek,WA,98082,Snohomish,
Millersburg,MI,49759,Presque Isle,
Millville,NJ,08332,Cumberland,
Milton,PA,17847,Northumberland,
Minneola,FL,34755,Lake,
Molena,GA,30258,Pike,
Monrovia,IN,46157,Morgan,
Montague,CA,96064,Siskiyou,
Montebello,CA,90640,Los Angeles,
Monterey,VA,24465,Highland,
Montgomery,TX,77316,Montgomery,
Morrison,TN,37357,Warren,
Morton,TX,79346,Cochran,
Mound City,MO,64470,Holt,
Mount Calm,TX,76673,Hill,
Mount Carmel,IL,62863,Wabash,
Mount Hope,WI,53816,Grant,
Mount Pleasant,TN,38474,Maury,
Mount Sterling,WI,54645,Crawford,
Mukilteo,WA,98275,Snohomish,
Muncie,IN,47306,Delaware,
Muncy,PA,17756,Lycoming,
Myersville,MD,21773,Frederick,
Napavine,WA,98565,Lewis,
Needville,TX,77461,Fort Bend,
New Alexandria,PA,15670,Westmoreland,
New Bedford,IL,61346,Bureau,
New Berlin,NY,13411,Chenango,
New Carlisle,IN,46552,St. Joseph,
New Castle,VA,24127,Craig,
New Haven,CT,06511,South Central Regional,
New Milford,PA,18834,Susquehanna,
New Plymouth,ID,83655,Payette,
New Prague,MN,56071,Le Sueur,
Newark,NJ,07103,Essex,
Newark,OH,43055,Licking,
Newland,NC,28657,Avery,
Newnan,GA,30271,Coweta,
Niantic,IL,62551,Macon,
Norlina,NC,27563,Warren,
North Lewisburg,OH,43060,Champaign,
North Tonawanda,NY,14120,Niagara,
Norwalk,WI,54648,Monroe,
Oak Park,IL,60303,Cook,
Oakville,WA,98568,Grays Harbor,
Ocean City,NJ,08226,Cape May,
Ocean Shores,WA,98569,Grays Harbor,
Ogden,IL,61859,Champaign,
Ojai,CA,93024,Ventura,
Orange Cove,CA,93646,Fresno,
Orfordville,WI,53576,Rock,
Orinda,CA,94563,Contra Costa,
Oriskany,NY,13424,Oneida,
Orland,CA,95963,Glenn,
Orlando,FL,32812,Orange,
Oroville,WA,98844,Okanogan,
Ostrander,OH,43061,Delaware,
Palatine Bridge,NY,13428,Montgomery,
Palm Beach Gardens,FL,33410,Palm Beach,
Palm Springs,CA,92264,Riverside,
Paragon,IN,46166,Morgan,
Paris,ID,83261,Bear Lake,
Park Rapids,MN,56470,Hubbard,
Park Ridge,NJ,07656,Bergen,
Parksley,VA,23421,Accomack,
Parrottsville,TN,37843,Cocke,
Passaic,NJ,07055,Passaic,
Patchogue,NY,11772,Suffolk,
Paulding,OH,45879,Paulding,
Paynesville,MN,56362,Stearns,
Pecan Gap,TX,75469,Delta,
Pembroke Pines,FL,33028,Broward,
Pendleton,IN,46064,Madison,
Pennville,IN,47369,Jay,
Pensacola,FL,32505,Escambia,
Perris,CA,92572,Riverside,
Perry,MO,63462,Ralls,
Petrolia,PA,16050,Butler,
Phillipsburg,NJ,08865,Warren,
Philo,OH,43771,Muskingum,
Phoenixville,PA,19460,Chester,
Pine Mountain,GA,31822,Harris,
Pinehurst,TX,77362,Montgomery,
Pittsburg,CA,94565,Contra Costa,
Plainview,TX,79073,Hale,
Plainville,IL,62365,Adams,
Plano,IL,60545,Kendall,
Platte City,MO,64079,Platte,
Plattsburgh,NY,12901,Clinton,
Pleasantville,NY,10570,Westchester,
Pomona Park,FL,32181,Putnam,
Poncha Springs,CO,81242,Chaffee,
Pond Creek,OK,73766,Grant,
Portage,MI,49024,Kalamazoo,
Portage,WI,53901,Columbia,
Portland,TX,78374,San Patricio,
Poughkeepsie,NY,12603,Dutchess,
Pulaski,TN,38478,Giles,
Pyote,TX,79777,Ward,
Quanah,TX,79252,Hardeman,
Quincy,OH,43343,Logan,
Quinlan,TX,75474,Hunt,
Rancho Mirage,CA,92270,Riverside,
Rankin,IL,60960,Vermilion,
Red Bluff,CA,96080,Tehama,
Red Hook,NY,12571,Dutchess,
Reedley,CA,93654,Fresno,
Rensselaer,NY,12144,Rensselaer,
Reynoldsburg,OH,43068,Franklin,
Richmond,KY,40476,Madison,
Richmond,MI,48062,Macomb,
Ridott,IL,61067,Stephenson,
River Rouge,MI,48218,Wayne,
Rochelle,GA,31079,Wilcox,
Rochester,NY,14613,Monroe,
Rock Hall,MD,21661,Kent,
Rock Port,MO,64482,Atchison,
Roma,TX,78584,Starr,
Rome,NY,13440,Oneida,
Roscommon,MI,48653,Roscommon,
Rose Hill,KS,67133,Butler,
Rosholt,WI,54473,Portage,
Rossburg,OH,45362,Darke,
Royal Center,IN,46978,Cass,
Saddle River,NJ,07458,Bergen,
Salem,IL,62881,Marion,
Salem,MA,01970,Essex,
Salyersville,KY,41465,Magoffin,
San Augustine,TX,75972,San Augustine,
San Elizario,TX,79849,El Paso,
San Fernando,CA,91340,Los Angeles,
San Leandro,CA,94579,Alameda,
San Luis,AZ,85349,Yuma,
Santa Anna,TX,76878,Coleman,
Santee,CA,92071,San Diego,
Scotland,GA,31083,Telfair,
Scotts Valley,CA,95066,Santa Cruz,
Scranton,ND,58653,Bowman,
Screven,GA,31560,Wayne,
Seagraves,TX,79359,Gaines,
Seattle,WA,98164,King,
Sebastopol,CA,95472,Sonoma,
Sebring,FL,33870,Highlands,
Sebring,OH,44672,Mahoning,
Selmer,TN,38375,McNairy,
Seymour,TX,76380,Baylor,
Shadyside,OH,43947,Belmont,
Shakopee,MN,55379,Scott,
Sheridan Lake,CO,81071,Kiowa,
Snowflake,AZ,85937,Navajo,
Solana Beach,CA,92075,San Diego,
Soledad,CA,93960,Monterey,
Solon Springs,WI,54873,Douglas,
Sonoma,CA,95476,Sonoma,
South Bend,IN,46601,St. Joseph,
South Saint Paul,MN,55075,Dakota,
Sparks,NV,89434,Washoe,
Spindale,NC,28160,Rutherford,
Spring Hill,TN,37174,Maury,
Spring Hope,NC,27882,Nash,
Spring Lake,NJ,07762,Monmouth,
Springfield,MO,65898,Greene,
Saint Clair,MI,48079,St. Clair,
Saint Elmo,IL,62458,Fayette,
Saint Louis,MO,63112,St. Louis (city),
Saint Paul,MN,55155,Ramsey,
Saint Petersburg,FL,33714,Pinellas,
Stafford,TX,77497,Fort Bend,
Stantonsburg,NC,27883,Wilson,
Staples,TX,78670,Guadalupe,
Statham,GA,30666,Barrow,
Staunton,IL,62088,Macoupin,
Stockbridge,GA,30281,Henry,
Stockton,IL,61085,Jo Daviess,
Strongsville,OH,44149,Medina,
Sunray,TX,79086,Moore,
Sunset Beach,NC,28468,Brunswick,
Surgoinsville,TN,37873,Hawkins,
Tazewell,TN,37879,Claiborne,
Tecumseh,OK,74873,Pottawatomie,
Tehachapi,CA,93561,Kern,
Tehuacana,TX,76686,Limestone,
Temple,OK,73568,Cotton,
Temple,TX,76502,Bell,
Templeville,MD,21670,Caroline,
Tensed,ID,83870,Benewah,
Timpson,TX,75975,Shelby,
Toms Brook,VA,22660,Shenandoah,
Tracy,CA,95376,San Joaquin,
Trafalgar,IN,46181,Johnson,
Trimble,TN,38259,Dyer,
Trinidad,CO,81082,Las Animas,
Troy Grove,IL,61372,LaSalle,
Troy,NC,27371,Montgomery,
Truman,MN,56088,Martin,
Tucson,AZ,85721,Pima,
Tulia,TX,79088,Swisher,
Tumwater,WA,98511,Thurston,
Turlock,CA,95381,Stanislaus,
Twin Falls,ID,83301,Twin Falls,
Upper Sandusky,OH,43351,Wyandot,
Urbana,IL,61801,Champaign,
Urbanna,VA,23175,Middlesex,
Urich,MO,64788,Henry,
Ursa,IL,62376,Adams,
Vail,CO,81657,Eagle,
Valders,WI,54245,Manitowoc,
Van Buren,IN,46991,Grant,
Vernon Hills,IL,60061,Lake,
Verona,PA,15147,Allegheny,
Versailles,KY,40383,Woodford,
Versailles,MO,65084,Morgan,
Victor,ID,83455,Teton,
Villa Rica,GA,30180,Carroll,
Villard,MN,56385,Pope,
Vincennes,IN,47591,Knox,
Vinton,OH,45686,Gallia,
Vonore,TN,37885,Monroe,
Waipahu,HI,96797,Honolulu,
Wales,WI,53183,Waukesha,
Walled Lake,MI,48390,Oakland,
Walnut Creek,CA,94596,Contra Costa,
Walnut Grove,MO,65770,Greene,
Waltham,MA,02453,Middlesex,
Wanamingo,MN,55983,Goodhue,
Wapakoneta,OH,45895,Auglaize,
Warrenton,NC,27589,Warren,
Washburn,MO,65772,Barry,
Washburn,WI,54891,Bayfield,
Washington,IL,61571,Tazewell,
Waubun,MN,56589,Mahnomen,
Webster,NY,14580,Monroe,
Weimar,TX,78962,Colorado,
Welaka,FL,32193,Putnam,
Wentworth,NC,27375,Rockingham,
Wentzville,MO,63385,Saint Charles,
West Bend,WI,53090,Washington,
West Chester,PA,19381,Chester,
West Chicago,IL,60186,DuPage,
West Lafayette,OH,43845,Coshocton,
West Monroe,LA,71294,Ouachita Parish,
West Richland,WA,99353,Benton,
Westfield,MA,01085,Hampden,
Wheatland,CA,95692,Yuba,
White Lake,WI,54491,Langlade,
Whitelaw,WI,54247,Manitowoc,
Whitesburg,GA,30185,Carroll,
Whitestown,IN,46075,Boone,
Whitney Point,NY,13862,Broome,
Wichita Falls,TX,76301,Wichita,
Wild Rose,WI,54984,Waushara,
Wildwood,NJ,08260,Cape May,
Williams,AZ,86046,Coconino,
Williams Bay,WI,53191,Walworth,
Willoughby,OH,44096,Lake,
Willow,OK,73673,Greer,
Winchester,OH,45697,Adams,
Winger,MN,56592,Polk,
Winkelman,AZ,85192,Gila,
Winslow,AZ,86047,Navajo,
Winter Garden,FL,34787,Orange,
Winter Park,CO,80482,Grand,
Wisconsin Dells,WI,53965,Columbia,
Wonewoc,WI,53968,Juneau,
Wood Dale,IL,60191,DuPage,
Woodsboro,MD,21798,Frederick,
Woodston,KS,67675,Rooks,
Wooster,OH,44691,Wayne,
Worcester,MA,01609,Worcester,
Yale,MI,48097,St. Clair,
Youngsville,NC,27596,Franklin,
Yountville,CA,94599,Napa,
Yreka,CA,96097,Siskiyou,
Yuma,AZ,85365,Yuma,
Yutan,NE,68073,Saunders,
Zanesville,IN,46799,Allen,
