city,state,zip,county,population
Glencoe,IL,60022,Cook,
Gaston,NC,27832,Northampton,
Garden City,KS,67846,Finney,
Franklin,KY,42134,Simpson,
Forest Park,GA,30297,Clayton,
Glasgow,VA,24555,Rockbridge,
Griffin,GA,30223,Spalding,
Fremont,OH,43420,Sandusky,
Halifax,NC,27839,Halifax,
Folcroft,PA,19032,Delaware,
Hardeeville,SC,29927,Jasper,
Galesburg,IL,61401,Knox,
Greenwood,IN,46142,Johnson,
Hanston,KS,67849,Hodgeman,
Fort Lee,NJ,07024,Bergen,
Guthrie,KY,42234,Todd,
Gulf Breeze,FL,32561,Santa Rosa,
Gardner,KS,66030,Johnson,
Germantown,TN,38138,Shelby,
Goodman,MO,64843,McDonald,
Germantown,WI,53022,Washington,
Godwin,NC,28344,Cumberland,
Harmony,PA,16037,Butler,
Haines City,FL,33844,Polk,
Grand Ridge,IL,61325,LaSalle,
Free Soil,MI,49411,Mason,
Fitzgerald,GA,31750,Ben Hill,
Florida,NY,10921,Orange,
Fort Walton Beach,FL,32548,Okaloosa,
Fox Lake,IL,60020,Lake,
Freeport,NY,11520,Nassau,
Greenville,IL,62246,Bond,
Grainfield,KS,67737,Gove,
Gambier,OH,43022,Knox,
Fletcher,NC,28732,Henderson,
Gaylord,MN,55334,Sibley,
Gillespie,IL,62033,Macoupin,
Granite Quarry,NC,28072,Rowan,
Glen Carbon,IL,62034,Madison,
Forestville,MI,48434,Sanilac,
Fredericksburg,VA,22402,Fredericksburg (city),
Firebaugh,CA,93622,Fresno,
Freeport,OH,43973,Harrison,
Giddings,TX,78942,Lee,
Gray Court,SC,29645,Laurens,
Fort Edward,NY,12828,Washington,
Gilroy,CA,95020,Santa Clara,
Gorman,TX,76454,Eastland,
Harlingen,TX,78553,Cameron,
Gasconade,MO,65036,Gasconade,
Hamburg,NY,14075,Erie,
Hales Corners,WI,53130,Milwaukee,
Garden Plain,KS,67050,Sedgwick,
Graham,NC,27253,Alamance,
Fortville,IN,46040,Hancock,
Fort Valley,GA,31030,Peach,
Hopewell,VA,23860,Hopewell (city),
Industry,TX,78944,Austin,
Henderson,TX,75653,Rusk,
Hillsboro,IL,62049,Montgomery,
Hazel Crest,IL,60429,Cook,
Hempstead,NY,11550,Nassau,
Helotes,TX,78023,Bexar,
Harrells,NC,28444,Sampson,
Highland,IL,62249,Madison,
Holyoke,MA,01040,Hampden,
Honeoye Falls,NY,14472,Monroe,
Howell,MI,48843,Livingston,
Hutchins,TX,75141,Dallas,
Iliff,CO,80736,Logan,
Hiram,GA,30141,Paulding,
Hillsboro,TX,76645,Hill,
Highland Park,MI,48203,Wayne,
Ingleside,TX,78362,San Patricio,
Hawthorne,FL,32640,Alachua,
Huntingdon,TN,38344,Carroll,
Hillsville,VA,24343,Carroll,
Herkimer,NY,13350,Herkimer,
Huntsville,TX,77343,Walker,
Hinesville,GA,31313,Liberty,
Live Oak,FL,32064,Suwannee,
Kenmore,WA,98028,King,
Lawrenceburg,TN,38464,Lawrence,
Larned,KS,67550,Pawnee,
Kenedy,TX,78119,Karnes,
La Habra,CA,90631,Orange,
Key West,FL,33040,Monroe,
Lanesboro,MN,55949,Fillmore,
Lenoir City,TN,37771,Loudon,
Little Elm,TX,75068,Denton,
Lebanon,IL,62254,St. Clair,
Lawrenceburg,IN,47025,Dearborn,
Jetmore,KS,67854,Hodgeman,
Lake Orion,MI,48360,Oakland,
Lakehurst,NJ,08733,Ocean,
Lindsay,CA,93247,Tulare,
Jacksboro,TN,37757,Campbell,
Justin,TX,76247,Denton,
Kimmswick,MO,63053,Jefferson,
Langley,WA,98260,Island,
Little Silver,NJ,07739,Monmouth,
Lewiston,MN,55952,Winona,
Larchmont,NY,10538,Westchester,
Laguna Woods,CA,92637,Orange,
Laguna Beach,CA,92651,Orange,
Jupiter,FL,33458,Palm Beach,
Jefferson City,TN,37760,Jefferson,
Lenox,GA,31637,Cook,
Lebanon,VA,24266,Russell,
Lamesa,TX,79331,Dawson,
Keystone Heights,FL,32656,Clay,
Kinsley,KS,67547,Edwards,
Knob Noster,MO,65336,Johnson,
Lenora,KS,67645,Norton,
Jackson,MI,49204,Jackson,
Jackson,CA,95642,Amador,
Kernersville,NC,27284,Forsyth,
Kite,GA,31049,Johnson,
Lakewood,OH,44107,Cuyahoga,
Liberty,TX,77575,Liberty,
Lewisville,NC,27023,Forsyth,
Lady Lake,FL,32158,Lake,
Joplin,MO,64802,Jasper,
Knightdale,NC,27545,Wake,
Iola,TX,77861,Grimes,
Jeannette,PA,15644,Westmoreland,
Leitchfield,KY,42754,Grayson,
Leonard,TX,75452,Fannin,
Littleton,IL,61452,Schuyler,
Lindsborg,KS,67456,McPherson,
Issaquah,WA,98029,King,
Lake Bluff,IL,60044,Lake,
La Mirada,CA,90638,Los Angeles,
La Follette,TN,37766,Campbell,
Mary Esther,FL,32569,Okaloosa,
Luray,VA,22835,Page,
Milton,WA,98354,Pierce,
Minoa,NY,13116,Onondaga,
Longboat Key,FL,34228,Manatee,
Lynn Haven,FL,32444,Bay,
Louisa,VA,23093,Louisa,
Lockport,NY,14095,Niagara,
Mowrystown,OH,45155,Highland,
Marathon,WI,54448,Marathon,
Mexico,NY,13114,Oswego,
Marco Island,FL,34145,Collier,
Lorain,OH,44052,Lorain,
Mound Valley,KS,67354,Labette,
Milford,PA,18337,Pike,
Marysville,OH,43040,Union,
Mc Ewen,TN,37101,Humphreys,
Meade,KS,67864,Meade,
Marquand,MO,63655,Madison,
Liverpool,IL,61543,Fulton,
Mount Vernon,MO,65712,Lawrence,
Momence,IL,60954,Kankakee,
Marengo,OH,43334,Morrow,
Manvel,TX,77578,Brazoria,
Malden,MO,63863,Dunklin,
Madison,NC,27025,Rockingham,
Malvern,PA,19355,Chester,
Lynn,IN,47355,Randolph,
Medford,MA,02153,Middlesex,
Middletown,MO,63359,Montgomery,
Monessen,PA,15062,Westmoreland,
Middleport,NY,14105,Niagara,
Maybee,MI,48159,Monroe,
Milan,TN,38358,Gibson,
Micanopy,FL,32667,Alachua,
Miami,TX,79059,Roberts,
Massillon,OH,44646,Stark,
Mishawaka,IN,46546,St. Joseph,
Montgomery,IL,60538,Kendall,
London,OH,43140,Madison,
Marina,CA,93933,Monterey,
Marlin,TX,76661,Falls,
Mars Hill,NC,28754,Madison,
Mcminnville,TN,37110,Warren,
Morton,IL,61550,Tazewell,
Minneapolis,KS,67467,Ottawa,
Moscow Mills,MO,63362,Lincoln,
Mokena,IL,60448,Will,
Mineral Wells,TX,76067,Palo Pinto,
Marfa,TX,79843,Presidio,
Marengo,IL,60152,McHenry,
Manteo,NC,27954,Dare,
Newcastle,TX,76372,Young,
North Port,FL,34286,Sarasota,
Oneida,NY,13421,Madison,
Ostrander,MN,55961,Fillmore,
Painted Post,NY,14870,Steuben,
Old Forge,PA,18518,Lackawanna,
Olney,IL,62450,Richland,
Pana,IL,62557,Christian,
New Home,TX,79383,Lynn,
Ozark,MO,65721,Christian,
Ovid,NY,14521,Seneca,
New Boston,TX,75570,Bowie,
Orland Park,IL,60462,Cook,
Oregon,OH,43616,Lucas,
Oak Harbor,WA,98277,Island,
North Bend,WA,98045,King,
Paramus,NJ,07652,Bergen,
Paducah,KY,42001,McCracken,
Oak Brook,IL,60523,DuPage,
Ossining,NY,10562,Westchester,
Painesville,OH,44077,Lake,
Munroe Falls,OH,44262,Summit,
New Richland,MN,56072,Waseca,
Oswego,NY,13126,Oswego,
Newark,TX,76071,Wise,
Nunda,NY,14517,Livingston,
Norton,KS,67654,Norton,
Niagara Falls,NY,14303,Niagara,
New Buffalo,MI,49117,Berrien,
Muskego,WI,53150,Waukesha,
Olmsted Falls,OH,44138,Cuyahoga,
Oberlin,OH,44074,Lorain,
Norwood,NY,13668,St. Lawrence,
Nevada,TX,75173,Collin,
Ovid,CO,80744,Sedgwick,
Neoga,IL,62447,Cumberland,
Northwood,OH,43619,Wood,
Northport,NY,11768,Suffolk,
North Adams,MI,49262,Hillsdale,
New Hartford,NY,13413,Oneida,
Orange,VA,22960,Orange,
Oneonta,NY,13820,Otsego,
Onalaska,TX,77360,Polk,
Arcata,CA,95518,Humboldt,
Reddick,FL,32686,Marion,
Port Jervis,NY,12771,Orange,
Poland,NY,13431,Herkimer,
Piqua,OH,45356,Miami,
Pilger,NE,68768,Stanton,
Pleasant Hill,MO,64080,Cass,
Prairie View,TX,77446,Waller,
Pittsfield,MA,01202,Berkshire,
Reidsville,NC,27320,Rockingham,
Raymore,MO,64083,Cass,
Penn Yan,NY,14527,Yates,
Port Chester,NY,10573,Westchester,
Plains,TX,79355,Yoakum,
Punta Gorda,FL,33951,Charlotte,
Pelham,NY,10803,Westchester,
Pinckneyville,IL,62274,Perry,
Pleasantville,PA,16341,Venango,
Port Hope,MI,48468,Huron,
Pomeroy,OH,45769,Meigs,
Port Orange,FL,32123,Volusia,
Port Richey,FL,34668,Pasco,
Randleman,NC,27317,Randolph,
Park Hills,MO,63601,St. Francois,
Puyallup,WA,98373,Pierce,
Plainville,GA,30733,Gordon,
Portland,MI,48875,Ionia,
Carroll,IA,51401,Carroll,
Breaux Bridge,LA,70517,St. Martin,
Clarksburg,MO,65025,Moniteau,
California,KY,41007,Campbell,
Berry,AL,35546,Fayette,
Bayport,MN,55003,Washington,
Athol,KS,66932,Smith,
Bisbee,AZ,85603,Cochise,
Bryant,AR,72089,Saline,
Claremont,CA,91711,Los Angeles,
Crystal Lake,IL,60012,McHenry,
Dayton,IN,47941,Tippecanoe,
Benton,MO,63736,Scott,
Bergen,NY,14416,Genesee,
Bethel Springs,TN,38315,McNairy,
Double Springs,AL,35553,Winston,
Haverhill,MA,01832,Essex,
Emporia,VA,23847,Emporia (city),
Fairfax,VA,22034,Fairfax,
Henry,TN,38231,Henry,
Griggsville,IL,62340,Pike,
El Dorado,KS,67042,Butler,
Genoa,WI,54632,Vernon,
Hartford,KS,66854,Lyon,
Erin,TN,37061,Houston,
Herriman,UT,84096,Salt Lake,
Gaylesville,AL,35973,Cherokee,
Elmwood,WI,54740,Pierce,
Emporia,KS,66801,Lyon,
Franklin Springs,GA,30639,Franklin,
Hopatcong,NJ,07843,Sussex,
Kingston Mines,IL,61539,Peoria,
Fulton,OH,43321,Morrow,
Kingman,AZ,86409,Mohave,
Dayton,TN,37321,Rhea,
Gretna,LA,70053,Jefferson Parish,
Elvaston,IL,62334,Hancock,
Dripping Springs,TX,78620,Hays,
Draper,UT,84020,Salt Lake,
Hurst,IL,62949,Williamson,
Highland Park,NJ,08904,Middlesex,
Lexington,TN,38351,Henderson,
Lyndon,IL,61261,Whiteside,
Marietta,IL,61459,Fulton,
New Florence,MO,63363,Montgomery,
Niceville,FL,32588,Okaloosa,
Niangua,MO,65713,Webster,
Montrose,SD,57048,McCook,
Moberly,MO,65270,Randolph,
Lehi,UT,84048,Utah,
Milan,NM,87021,Cibola,
New Bethlehem,PA,16242,Clarion,
Norwich,NY,13815,Chenango,
Lewisburg,TN,37091,Marshall,
Northvale,NJ,07647,Bergen,
Viola,IL,61486,Mercer,
Sharon,WI,53585,Walworth,
Ranburne,AL,36273,Cleburne,
Stratford,WI,54484,Marathon,
Saint Charles,IL,60174,Kane,
Stone Mountain,GA,30087,DeKalb,
Tyro,KS,67364,Montgomery,
Slocomb,AL,36375,Geneva,
Trafford,AL,35172,Jefferson,
Portis,KS,67474,Osborne,
Union,SC,29379,Union,
Rice,MN,56367,Benton,
Saint Augustine,FL,32084,Saint Johns,
Saratoga Springs,UT,84045,Utah,
Saint Anne,IL,60964,Kankakee,
Rogers,OH,44455,Columbiana,
Powell,WY,82435,Park,
Riverdale,GA,30274,Clayton,
Ringgold,GA,30736,Catoosa,
Rosemead,CA,91771,Los Angeles,
Sabinal,TX,78881,Uvalde,
Richview,IL,62877,Washington,
Ridgecrest,CA,93555,Kern,
Rolla,KS,67954,Morton,
Royalton,IL,62983,Franklin,
Rockwell,NC,28138,Rowan,
San Juan Capistrano,CA,92675,Orange,
San Carlos,CA,94070,San Mateo,
Salamanca,NY,14779,Cattaraugus,
Roslyn,NY,11576,Nassau,
Russellville,KY,42276,Logan,
West Springfield,MA,01089,Hampden,
Wheat Ridge,CO,80033,Jefferson,
Round Top,TX,78954,Fayette,
Rutledge,GA,30663,Morgan,
Ross,CA,94957,Marin,
Rutledge,TN,37861,Grainger,
Rockport,TX,78381,Aransas,
San Antonio,FL,33576,Pasco,
Rising Sun,IN,47040,Ohio,
Rock Falls,IL,61071,Whiteside,
Ridgeway,VA,24148,Henry,
Rhinebeck,NY,12572,Dutchess,
Winchester,IL,62694,Scott,
Rocksprings,TX,78880,Edwards,
Richfield,WI,53076,Washington,
Ridgefield Park,NJ,07660,Bergen,
Rockledge,FL,32956,Brevard,
Ross,TX,76684,McLennan,
Shelby,MI,49455,Oceana,
Saint Paul,NE,68873,Howard,
Sheffield Lake,OH,44054,Lorain,
Saint James,MN,56081,Watonwan,
Southlake,TX,76092,Tarrant,
Springdale,WA,99173,Stevens,
South Roxana,IL,62087,Madison,
Saxis,VA,23427,Accomack,
Springfield,TN,37172,Robertson,
Schneider,IN,46376,Lake,
South Amboy,NJ,08879,Middlesex,
San Juan,TX,78589,Hidalgo,
Sanford,FL,32771,Seminole,
Silverton,TX,79257,Briscoe,
Snohomish,WA,98290,Snohomish,
Sopchoppy,FL,32358,Wakulla,
Sharpsburg,GA,30277,Coweta,
Sheridan,MI,48884,Montcalm,
Sanger,CA,93657,Fresno,
Shawnee,KS,66203,Johnson,
Shawnee,OH,43782,Perry,
Soap Lake,WA,98851,Grant,
Sodus,NY,14551,Wayne,
Slaton,TX,79364,Lubbock,
Schiller Park,IL,60176,Cook,
Silvis,IL,61282,Rock Island,
Shalimar,FL,32579,Okaloosa,
Toppenish,WA,98948,Yakima,
Trenton,FL,32693,Gilchrist,
Trimble,OH,45782,Athens,
Stinnett,TX,79083,Hutchinson,
Taunton,MA,02780,Bristol,
Thomson,GA,30824,McDuffie,
Three Rivers,TX,78071,Live Oak,
Thomson,IL,61285,Carroll,
Summerfield,NC,27358,Guilford,
Summerville,GA,30747,Chattooga,
Starbuck,WA,99359,Columbia,
Tarpon Springs,FL,34688,Pinellas,
Stewartville,MN,55976,Olmsted,
Sunnyside,WA,98944,Yakima,
Tekamah,NE,68061,Burt,
Tarboro,NC,27886,Edgecombe,
Tivoli,NY,12583,Dutchess,
Stockton,MO,65785,Cedar,
Stewardson,IL,62463,Shelby,
Saint Robert,MO,65584,Pulaski,
Sun Valley,ID,83353,Blaine,
Teague,TX,75860,Freestone,
Swedesboro,NJ,08085,Gloucester,
Trion,GA,30753,Chattooga,
Stanfield,NC,28163,Stanly,
Suffern,NY,10901,Rockland,
Tatamy,PA,18085,Northampton,
Terrell,TX,75161,Kaufman,
Tipp City,OH,45371,Miami,
Thornville,OH,43076,Perry,
Westport,WA,98595,Grays Harbor,
West Sacramento,CA,95691,Yolo,
Whitehouse,OH,43571,Lucas,
Wauchula,FL,33873,Hardee,
Whiteville,TN,38075,Hardeman,
Winnsboro,TX,75494,Wood,
Wasco,CA,93280,Kern,
Troy,IL,62294,Madison,
Winslow,NE,68072,Dodge,
Valley Stream,NY,11582,Nassau,
Westchester,IL,60154,Cook,
Waverly,MO,64096,Lafayette,
Wildomar,CA,92595,Riverside,
Van Alstyne,TX,75495,Grayson,
Waverly,WA,99039,Spokane,
Wheaton,IL,60187,DuPage,
Vanduser,MO,63784,Scott,
Woodridge,IL,60517,DuPage,
Wake Forest,NC,27587,Wake,
Willard,OH,44890,Huron,
Winona,MN,55987,Winona,
Upper Marlboro,MD,20772,Prince George's,
Union,MO,63084,Franklin,
Wellington,FL,33414,Palm Beach,
Williamsburg,VA,23186,Williamsburg (city),
Whiteville,NC,28472,Columbus,
Woodland,CA,95695,Yolo,
Winfield,KS,67156,Cowley,
Wylie,TX,75098,Dallas,
Windsor,CA,95492,Sonoma,
Woodville,TX,75979,Tyler,
Williamsville,IL,62693,Sangamon,
Troy,OH,45373,Miami,
Westbrook,ME,04092,Cumberland,
Warrenville,IL,60555,DuPage,
Webster,TX,77598,Harris,
Wellston,OH,45692,Jackson,
Chipley,FL,32428,Washington,
Fairmont,WV,26554,Marion,
Alvin,TX,77511,Brazoria,
Lawrenceville,GA,30046,Gwinnett,
Liberty,MO,64068,Clay,
Aurora,MO,65605,Lawrence,
Country Club Hills,IL,60478,Cook,
College Corner,OH,45003,Butler,
Nevada City,CA,95959,Nevada,
Fountain Hills,AZ,85268,Maricopa,
Deland,FL,32723,Volusia,
Beacon,NY,12508,Dutchess,
Emily,MN,56447,Crow Wing,
Coronado,CA,92118,San Diego,
Archer City,TX,76351,Archer,
Bowie,TX,76230,Montague,
Antonito,CO,81120,Conejos,
Cohoes,NY,12047,Albany,
Eldon,MO,65026,Miller,
East Grand Forks,MN,56721,Polk,
Sweetwater,TX,79556,Nolan,
Canton,SD,57013,Lincoln,
Closter,NJ,07624,Bergen,
Canton,TX,75103,Van Zandt,
South Milwaukee,WI,53172,Milwaukee,
Winter Park,FL,32792,Orange,
West Hollywood,CA,90069,Los Angeles,
Texarkana,TX,75505,Bowie,
Rio Dell,CA,95562,Humboldt,
Kissimmee,FL,34746,Osceola,
Weirton,WV,26062,Hancock,
Melrose Park,IL,60160,Cook,
Monticello,NY,12701,Sullivan,
Menlo Park,CA,94026,San Mateo,
Hilliard,OH,43026,Franklin,
Malabar,FL,32950,Brevard,
Gruver,TX,79040,Hansford,
White Plains,NY,10603,Westchester,
Nolensville,TN,37135,Williamson,
Monrovia,CA,91016,Los Angeles,
Indialantic,FL,32903,Brevard,
Noel,MO,64854,McDonald,
Petersburg,IL,62675,Menard,
Hoffman Estates,IL,60169,Cook,
Xenia,OH,45385,Greene,
Queenstown,MD,21658,Queen Anne's,
Lindenhurst,NY,11757,Suffolk,
Temple City,CA,91780,Los Angeles,
Seabrook,TX,77586,Harris,
